"","Fit","R_bin"
"Bin0.0075TRUE",-0.291735125707666,0.096266716908488
"Bin0.0125TRUE",-0.528481883925306,0.017890808280507
"Bin0.02TRUE",-0.678354611391472,0.0156583900331359
"Bin0.03TRUE",-0.616984366706165,0.0143971757326228
"Bin0.04TRUE",-0.523788867103508,0.0130596748336276
"Bin0.05TRUE",-0.469729347167701,0.0126234165093946
"Bin0.06TRUE",-0.422500183256058,0.0123445422666222
"Bin0.07TRUE",-0.366949673615607,0.0122294558272283
"Bin0.08TRUE",-0.32925491632281,0.0122089170421527
"Bin0.09TRUE",-0.278898564306053,0.0121574289470389
"Bin0.1TRUE",-0.228147700791641,0.0120235509950656
"Bin0.11TRUE",-0.166207561191119,0.0118142187760584
"Bin0.12TRUE",-0.141227578695527,0.0100385552074189
"Bin0.13TRUE",-0.103176444484978,0.0062106466644522
"Bin0.14TRUE",-0.0308412107837653,0.00291589240496962
