"","Fit","R_bin"
"Bin0.0075TRUE",3.91824696882933,2.97021512493457
"Bin0.0125TRUE",2.74672672781191,0.519304617453177
"Bin0.02TRUE",2.33546096945365,0.261478649010996
"Bin0.03TRUE",2.19579515083577,0.184780298566605
"Bin0.04TRUE",2.24186419479241,0.166255845902627
"Bin0.05TRUE",2.08942682236452,0.162205612374848
"Bin0.06TRUE",1.9990603388892,0.154474053627475
"Bin0.07TRUE",1.88574517628215,0.151221800296515
"Bin0.08TRUE",1.78640988026643,0.150587273697611
"Bin0.09TRUE",1.68427553123309,0.149061178115878
"Bin0.1TRUE",1.40917838653409,0.145212395412226
"Bin0.11TRUE",1.24668774065478,0.14132612612673
"Bin0.12TRUE",0.830923696361667,0.114073853267664
"Bin0.13TRUE",0.781106342140406,0.107650919159241
"Bin0.14TRUE",0.42603946093552,0.0273730945249134
