"","Fit","R_bin"
"Bin0.0075TRUE",1.00757579575714,0.173227619102039
"Bin0.0125TRUE",0.73084144745275,0.0361797879193781
"Bin0.02TRUE",0.658148960318905,0.0275438960513421
"Bin0.03TRUE",0.586718599175419,0.0182033220522391
"Bin0.04TRUE",0.554358530555621,0.0169967894540488
"Bin0.05TRUE",0.516014232421747,0.0167757125241308
"Bin0.06TRUE",0.476311009164592,0.016501538557222
"Bin0.07TRUE",0.457096113842961,0.0164136540349751
"Bin0.08TRUE",0.440624681430454,0.0163961011671642
"Bin0.09TRUE",0.426490994299955,0.0163595988777024
"Bin0.1TRUE",0.401470977016628,0.0162134660788457
"Bin0.11TRUE",0.406786708417357,0.0157497248485011
"Bin0.12TRUE",0.278829687107259,0.0129542288650993
"Bin0.13TRUE",0.26050764608137,0.0119516108434292
"Bin0.14TRUE",0.0273887491548659,0.0046573150518465
